Comment,Designator,Footprint,LCSC,Quantity
Micro_SD_Card_Det1,J2,GCT_MEM2075-00-140-01-A,,1
Micro_SD_Card_Det1,J1,GCT_MEM2075-00-140-01-A,,1
STM32H747IITx,U2,LQFP-176_24x24mm_P0.5mm,,1
USBLC6-2SC6,U9,SOT-23-6,,1
0.1uF,C38,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,,1
6.4V,D3,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,,1
5.1k,R28,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,,1
USB_C_Receptacle_USB2.0_man,J17,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,,1
0.47uF,C36,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,,1
0.1uF,C35,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,,1
0.1u,C34,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,,1
Polyfuse,F1,Fuse_0603_1608Metric_Pad1.05x0.95mm_HandSolder,,1
5.1k,R27,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,,1
6.4V,D2,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,,1
D,D1,D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,,1
SST25VF080B-50-4x-S2Ax,U1,SOIC-8_5.3x5.3mm_P1.27mm,,1
10uF/50V,C39,CP_Elec_4x5.4,,1
Buzzer_TDK_PS1240,BZ1,Buzzer_TDK_PS1240P02BT_D12.2mmP5mm,,1
